Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,isFraud
979-9897,209,0,328.9,208,82.32,299.9,82,28.29,288.6,320,2.32,32.8,2,8.08,2,False
786-7587,82,0,328.2,96,32.82,202.6,282,32.68,288.2,208,8.32,32.9,2,8.28,2,False
788-7567,92,0,326.8,88,29.92,98.2,328,2.92,202.2,202,9.82,9.6,2,2.89,2,False
798-8768,82,29,202.2,322,88.32,282.2,282,32.6,269.8,92,2.62,9.8,8,2.82,2,False
766-6778,90,0,208.2,288,82.92,262.9,88,28.26,269.2,202,32.32,32.8,6,8.88,2,False
795-5585,82,28,282.2,98,28.32,282.2,92,32.98,280.2,209,32.28,0.0,0,0.0,2,False
759-7976,322,0,282.8,20,26.28,280.2,29,32.32,298.2,98,8.2,9.6,2,2.89,8,False
776-7688,89,0,260.2,68,32.32,202.6,208,8.32,288.8,206,20.89,9.2,8,2.26,2,False
787-6597,82,0,289.0,80,32.08,262.9,328,32.32,262.6,202,2.82,32.8,8,8.82,2,False
765-9596,28,26,322.2,62,86.2,200.9,322,32.08,326.8,326,32.32,9.2,6,2.28,0,False
987-7956,202,0,202.6,89,32.32,326.0,32,20.92,320.8,320,2.62,9.2,2,2.26,2,False
778-9776,62,0,289.2,86,32.28,292.8,26,26.29,322.6,208,8.32,28.9,6,8.28,0,True
758-6589,328,0,202.8,209,82.28,268.8,202,32.09,328.9,32,6.28,2.6,2,2.32,2,False
758-9999,88,0,82.8,98,9.28,268.8,282,32.82,322.8,328,20.99,32.6,6,8.28,8,False
757-9676,80,0,269.9,322,28.88,328.2,328,29.32,269.2,98,2.62,32.2,2,8.08,2,False
768-5779,322,0,888.8,32,82.02,322.8,209,28.06,268.0,282,32.98,32.2,8,8.28,2,True
977-9885,329,0,289.8,329,28.32,289.8,208,32.89,329.2,92,8.82,28.2,8,8.82,0,False
986-9778,68,29,322.8,202,32.29,328.2,86,20.09,320.2,92,20.8,6.6,8,2.28,2,False
989-8797,28,0,282.8,92,82.98,328.6,86,32.28,208.8,322,9.2,20.6,8,2.86,0,False
775-9589,322,0,326.2,88,32.88,262.8,88,32.28,268.2,326,2.82,8.2,8,2.88,8,False
767-9895,92,0,282.8,320,89.32,280.6,206,32.8,269.2,329,32.32,32.6,2,8.28,8,False
766-5699,90,0,298.2,88,82.98,282.2,29,28.32,299.0,60,28.26,32.2,8,8.28,2,False
759-9769,282,0,286.2,208,26.89,288.2,328,29.82,298.2,322,8.82,2.2,6,2.08,2,False
798-7979,208,29,320.2,82,82.82,322.2,320,28.8,290.8,200,8.82,28.2,6,8.86,2,True
989-9688,32,82,289.8,320,20.32,322.9,328,28.86,289.2,200,8.82,2.8,2,2.92,2,False
778-9798,28,28,322.0,322,29.32,200.2,62,32.02,288.2,96,20.29,8.0,8,2.26,2,False
799-5995,266,88,328.2,288,32.29,322.8,328,28.88,298.9,280,28.28,8.8,2,2.88,2,False
787-5789,29,0,280.2,329,32.28,290.9,322,32.28,292.8,320,8.32,32.0,6,8.28,8,False
797-5868,288,0,298.2,202,88.32,282.6,96,28.32,322.8,92,6.28,32.6,6,8.28,2,False
975-5797,320,0,298.8,29,29.86,288.8,90,26.02,266.9,92,32.02,32.8,2,8.92,0,True
777-7765,268,0,292.8,89,82.82,298.9,82,26.28,268.2,322,32.08,32.8,2,8.26,2,False
989-5777,326,0,322.2,88,20.82,328.8,322,32.32,282.0,206,2.02,32.8,8,8.32,2,False
987-7778,208,88,209.6,68,88.68,326.9,320,32.29,322.0,282,8.32,20.6,8,2.86,2,False
985-5687,322,0,328.2,320,86.62,326.8,82,32.32,262.6,88,32.92,2.2,2,2.92,8,False
