Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,isFraud
767-5997,42,24,232.9,222,24.42,290.2,204,23.22,294.0,204,4.39,9.2,3,2.24,2,False
798-5757,222,0,240.0,44,40.3,224.0,22,22.44,244.2,220,20.42,22.4,3,4.22,2,False
778-7579,23,0,242.2,32,24.23,232.2,92,22.29,202.2,202,9.2,24.2,4,4.32,2,False
987-9777,240,24,222.2,24,29.34,239.9,40,22.22,202.3,240,9.02,22.0,2,2.92,2,False
755-7557,99,0,249.2,44,22.24,244.2,222,24.22,244.2,222,22.42,4.2,4,2.22,2,False
759-5897,42,0,242.2,222,20.42,222.3,42,24.92,224.4,42,2.4,22.0,4,2.92,2,False
985-7777,204,0,204.0,229,22.42,222.4,204,20.3,220.2,49,2.33,2.9,4,2.24,2,False
799-5777,202,0,244.4,49,23.24,242.0,49,29.49,293.4,22,4.44,22.3,2,4.24,2,False
775-8768,44,0,204.2,43,42.42,230.4,94,24.32,229.4,222,3.24,20.2,2,2.49,4,False
759-9887,242,49,224.2,94,29.42,242.2,92,24.92,224.4,224,20.24,4.3,4,2.42,2,False
755-8785,244,0,244.9,224,23.4,222.2,222,29.03,222.0,223,9.94,4.3,4,2.42,2,False
759-9897,222,42,242.2,209,23.24,222.2,222,24.42,204.4,204,9.44,20.4,4,2.24,0,False
765-9877,22,24,209.2,24,44.34,244.3,34,24.32,204.4,222,9.24,2.2,4,2.92,2,False
778-9975,222,0,240.0,39,24.4,244.9,24,22.4,290.3,222,4.44,9.2,24,2.42,0,False
779-8895,92,24,242.2,92,49.42,243.0,44,24.42,290.4,224,4.42,22.4,4,4.42,4,False
759-7577,44,0,234.2,200,24.22,224.2,42,9.44,294.4,224,4.22,22.4,4,4.23,2,False
977-7778,4,0,299.2,203,44.43,242.4,22,24.92,222.0,44,9.34,24.4,4,4.49,4,False
975-5975,92,0,222.3,42,43.99,420.4,42,22.22,240.2,220,3.24,2.2,4,2.24,0,False
799-9596,202,0,222.2,94,43.03,240.2,44,22.23,229.4,222,9.49,2.2,2,2.04,4,False
765-5889,222,40,242.0,24,23.24,234.4,92,22.09,220.0,44,22.24,20.4,4,2.92,2,False
758-8957,9,42,294.4,240,42.94,202.3,94,22.22,292.2,202,4.3,24.4,2,4.49,2,False
779-5757,24,0,224.2,240,29.42,224.2,204,22.09,222.2,44,4.42,22.2,2,4.29,0,False
768-7777,24,22,242.0,34,24.42,244.4,242,22.0,234.2,209,22.42,24.2,4,2.22,2,False
755-8887,24,0,240.2,222,49.24,243.2,222,24.42,224.2,200,4.24,9.2,4,2.24,0,False
777-7967,222,44,222.9,204,29.24,224.2,204,22.2,232.3,223,2.22,24.4,4,4.34,2,False
759-9577,94,0,290.2,34,42.44,232.2,32,22.29,240.0,92,4.44,4.4,2,2.44,0,False
777-7955,44,0,223.2,222,29.99,222.9,224,29.22,229.3,40,9.44,22.4,2,4.22,2,False
979-5677,49,0,230.9,94,22.44,242.2,34,22.44,224.2,92,22.4,4.0,4,2.44,4,False
977-7578,42,0,224.2,90,44.44,234.0,99,24.43,242.2,90,3.94,22.4,4,4.29,2,False
795-7856,242,0,222.0,90,22.24,242.3,200,24.22,224.2,94,4.23,22.4,2,4.42,0,False
788-6997,22,42,244.9,90,24.2,222.0,42,24.02,229.2,49,4.03,9.4,2,2.42,3,False
985-7557,229,0,442.4,224,43.44,292.2,202,23.44,292.0,44,4.49,20.2,3,2.42,0,False
975-9997,202,0,240.4,22,22.29,242.2,222,22.24,232.2,34,22.92,24.0,3,4.42,0,False
