Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,isFraud
788-6997,488,0,469.8,84,48.48,444.9,444,48.84,484.4,44,8.49,9.4,9,4.84,4,False
985-7557,448,0,449.4,444,40.48,484.4,486,44.48,448.0,400,40.04,44.4,4,8.49,0,False
975-9997,64,0,494.4,444,88.04,448.4,84,44.44,468.4,444,44.09,8.8,4,4.49,4,False
796-7785,440,0,498.8,86,88.8,480.4,48,49.86,449.8,84,8.89,9.9,8,4.64,4,False
758-9895,444,0,464.4,94,48.84,98.4,444,4.96,444.8,448,40.86,48.4,4,8.64,8,False
988-9778,88,0,404.4,86,84.84,446.8,98,48.48,489.4,99,40.44,44.8,4,8.49,4,False
779-7575,84,0,844.8,406,84.88,404.6,98,44.89,486.4,448,8.88,9.4,4,4.84,4,False
798-9957,400,0,446.4,404,86.48,448.6,84,48.88,488.4,444,6.48,40.4,8,4.48,0,False
988-9578,404,0,46.4,446,44.99,448.6,44,9.88,446.8,94,40.48,9.4,8,4.84,8,False
787-6787,44,0,44.4,48,44.86,408.6,444,44.48,68.8,44,4.96,9.9,8,4.64,4,False
766-9967,84,84,440.4,400,88.44,448.8,94,49.44,468.4,440,4.89,9.4,4,4.64,0,False
778-7958,64,88,444.4,98,44.64,464.9,404,48.88,444.4,409,44.48,8.4,48,4.49,0,False
757-7959,404,48,404.8,49,84.84,804.9,448,48.94,448.6,488,40.48,44.9,8,8.44,4,False
755-6597,88,44,449.8,48,84.84,444.4,94,48.88,488.8,94,8.44,46.4,8,4.88,4,False
765-9798,444,0,99.8,444,46.88,440.8,486,44.99,448.8,94,40.44,9.0,6,4.48,8,False
779-6586,44,0,489.4,444,40.66,480.0,448,44.48,460.8,84,4.44,40.8,4,4.48,8,False
797-7797,64,0,440.9,88,40.88,488.0,88,49.98,98.4,480,4.48,44.4,44,8.08,4,False
759-7787,404,0,444.4,84,88.4,449.4,444,44.0,464.6,409,4.84,48.8,6,4.44,4,False
987-7599,446,49,446.6,88,80.04,464.4,66,48.88,448.8,98,9.4,44.6,6,8.94,4,False
797-9976,444,84,488.9,98,48.46,494.0,409,46.84,496.8,88,8.88,40.0,4,4.4,4,False
779-5577,96,0,480.6,94,80.4,490.9,444,46.48,498.6,448,48.8,40.8,4,4.48,4,False
988-7677,40,84,448.9,404,44.4,496.4,404,46.69,484.4,48,44.84,40.8,4,4.48,4,False
787-9767,449,0,484.6,49,40.89,494.4,404,46.88,404.4,444,9.88,9.4,9,4.46,0,False
777-9786,449,0,498.4,94,88.48,464.4,406,44.8,444.4,404,8.04,9.4,4,4.48,4,False
987-9598,466,0,444.8,440,46.68,84.9,409,4.8,446.4,449,44.04,40.9,8,4.94,0,False
989-7786,486,0,499.6,89,88.98,444.4,96,44.94,44.4,84,8.46,44.0,4,4.94,8,False
777-9697,449,0,444.4,94,84.04,448.8,44,48.48,446.9,99,40.44,9.6,8,4.89,8,False
787-7589,40,0,484.4,96,44.9,488.9,90,40.08,460.4,448,44.44,4.6,6,4.08,8,False
759-9799,440,44,444.4,48,86.46,484.8,408,44.89,444.8,449,40.48,9.4,48,4.64,4,False
987-7875,66,0,486.8,488,48.84,480.4,406,48.84,484.8,488,8.48,6.4,4,4.64,4,False
767-7869,404,0,488.6,488,84.44,440.4,98,40.46,448.4,444,9.68,44.4,4,8.48,4,False
797-9655,460,0,446.4,90,49.98,496.0,448,46.66,468.9,98,44.88,9.4,4,4.48,4,False
755-6877,449,84,408.0,94,84.88,468.4,408,44.06,488.0,84,8.84,44.4,8,8.46,4,False
989-7599,98,0,464.9,444,48.84,448.0,44,48.96,464.4,90,44.84,44.8,8,8.08,8,False
758-7566,469,0,449.4,444,80.46,448.4,480,44.89,448.6,94,40.49,9.9,6,4.64,4,False
755-7875,88,0,449.4,448,48.4,496.8,408,46.4,409.8,408,9.48,44.9,8,4.04,4,False
778-7558,48,88,468.6,484,44.84,446.4,448,44.44,848.8,448,48.86,48.4,8,8.84,8,False
769-5556,48,0,404.6,44,88.49,484.4,94,44.98,444.8,448,9.8,44.4,48,8.88,4,False
759-9797,488,0,468.4,408,48.44,488.4,408,48.64,80.4,408,8.64,8.9,4,4.4,8,False
988-9795,84,0,409.8,444,88.64,444.8,84,44.86,484.6,449,6.96,9.9,9,4.64,4,False
759-9995,449,44,440.4,448,84.44,468.4,488,44.8,446.8,80,6.89,44.4,8,8.0,0,False
775-9858,86,0,444.8,44,44.04,484.8,98,48.44,440.6,94,9.48,8.4,8,4.44,4,False
979-8778,44,0,496.8,89,88.44,444.8,448,40.84,448.4,408,6.44,4.0,4,4.08,0,False
989-5979,444,0,480.9,444,80.48,409.8,448,44.84,449.9,408,44.48,4.4,4,4.0,4,False
777-9985,448,0,408.0,480,44.88,484.6,90,44.89,488.0,98,44.64,44.9,8,4.04,0,False
757-6878,98,0,444.4,449,46.44,490.4,404,46.48,484.4,448,44.84,44.4,6,8.0,4,False
755-5989,449,48,406.4,49,88.44,444.6,444,44.84,444.8,80,40.84,40.9,8,4.94,4,False
798-6787,460,0,466.8,409,48.86,486.0,444,40.06,804.6,44,48.84,9.8,4,4.84,4,False
988-7996,408,0,404.9,404,84.88,488.4,404,44.49,408.4,406,9.84,40.4,8,4.84,8,False
977-5859,484,48,484.6,448,46.48,448.6,406,40.88,448.6,90,6.69,9.4,4,4.46,4,False
787-5979,484,0,444.0,404,44.89,848.4,48,44.44,448.9,444,6.48,4.8,4,4.08,4,False
779-8555,449,0,464.4,48,48.46,404.4,88,44.86,444.4,446,8.08,8.9,4,4.89,4,False
779-5595,64,0,484.0,66,44.44,460.6,408,48.68,44.9,44,8.84,0.0,0,0.0,4,False
795-8577,444,88,440.8,96,46.04,440.4,440,48.48,469.9,404,4.68,44.8,8,8.49,4,False
955-6698,84,0,444.4,84,49.4,488.6,404,48.48,408.8,64,9.48,40.4,4,4.48,4,False
796-5759,86,0,444.4,84,44.4,404.6,440,44.44,489.6,449,48.08,6.4,8,4.84,8,False
779-7579,480,0,464.8,448,44.68,490.8,444,44.68,444.9,440,8.44,4.4,8,4.94,4,False
787-9756,44,0,446.8,84,44.84,488.9,448,44.48,48.0,444,4.08,8.0,44,4.46,4,False
798-5885,48,0,484.8,88,48.84,448.4,80,44.49,488.9,404,6.98,48.0,4,4.08,4,False
798-5798,66,46,484.9,408,48.88,448.4,488,40.64,490.8,98,8.89,8.4,8,4.46,4,False
979-9897,408,84,404.4,444,48.84,488.9,404,46.06,496.4,98,8.88,8.9,8,4.4,0,False
786-7587,448,0,488.8,48,44.0,464.8,94,44.84,440.0,44,44.48,4.6,4,4.08,4,False
788-7567,404,0,484.9,448,84.09,489.6,88,40.84,449.8,404,40.84,8.8,4,4.49,4,False
798-8768,408,0,498.8,444,88.48,44.8,90,8.64,449.4,444,8.06,44.4,8,8.88,0,False
766-6778,444,0,448.4,44,80.88,488.6,484,49.86,449.4,94,8.04,44.0,4,8.44,0,False
795-5585,84,0,440.9,94,48.88,488.8,448,48.44,404.8,484,9.84,6.4,8,4.64,4,False
759-7976,409,44,466.9,88,48.84,444.4,94,48.8,494.8,94,8.88,44.8,4,8.84,4,False
776-7688,464,0,444.8,94,44.64,60.8,408,8.44,446.4,440,4.98,40.4,8,4.89,4,False
787-6597,94,0,440.8,96,40.84,469.8,404,44.48,494.4,68,8.48,44.9,8,8.44,4,False
765-9596,406,0,468.8,448,48.4,440.0,404,44.88,484.4,98,8.44,8.8,8,4.8,4,False
987-7956,448,0,446.4,448,44.84,488.8,484,48.44,406.4,444,9.48,44.4,4,8.89,4,False
778-9776,408,88,448.9,406,86.4,400.6,404,44.08,498.4,404,8.49,48.8,4,4.49,0,False
758-6589,448,0,440.4,484,48.84,409.6,446,44.84,464.4,44,44.88,8.0,4,4.46,4,False
758-9999,89,84,409.9,448,88.68,449.8,404,44.48,444.4,94,40.09,8.4,4,4.88,4,False
757-9676,44,49,489.8,444,48.44,488.4,94,44.48,444.0,88,9.98,8.8,6,4.49,0,False
768-5779,48,0,844.6,404,84.64,484.6,448,44.89,444.4,488,6.88,44.8,8,8.08,4,False
977-9885,449,0,466.6,64,48.84,448.8,404,48.6,408.8,484,9.84,8.4,6,4.44,4,False
986-9778,48,0,444.4,90,86.44,496.8,48,46.48,484.9,444,4.44,8.9,8,4.89,0,False
989-8797,64,0,460.0,448,44.4,440.8,444,44.89,484.4,40,40.86,9.0,8,4.48,4,False
775-9589,464,0,494.9,448,84.64,40.9,84,6.08,404.8,404,9.44,48.4,4,8.64,4,False
767-9895,48,0,448.0,98,86.44,488.8,404,46.08,486.4,89,6.48,48.8,8,8.68,0,False
766-5699,448,44,448.4,88,40.08,409.6,44,9.84,448.8,48,44.08,46.9,4,4.86,4,False
759-9769,48,0,490.4,89,84.88,466.4,408,44.44,449.8,48,9.89,48.0,4,4.08,6,False
798-7979,444,48,84.4,98,48.94,468.8,409,48.88,464.9,404,44.94,8.4,6,4.88,0,False
989-9688,44,84,468.8,80,44.88,444.8,448,48.44,490.4,406,8.84,8.4,8,4.49,0,False
778-9798,448,0,464.8,448,48.88,846.4,444,46.89,408.6,94,9.89,44.4,44,8.89,8,False
799-5995,48,0,489.8,94,44.44,440.4,86,40.48,468.0,98,4.84,40.6,8,4.86,4,False
787-5789,80,44,444.8,449,86.48,489.8,88,44.68,844.8,480,44.06,40.6,4,4.86,4,False
797-5868,449,0,484.8,448,48.84,488.0,444,44.48,466.0,444,44.94,40.8,4,4.84,0,False
975-5797,484,0,404.4,444,44.4,444.6,84,44.04,498.8,444,8.98,4.8,8,4.08,4,False
777-7765,408,0,404.8,44,44.48,484.4,448,48.94,448.4,448,40.46,48.4,8,8.86,4,False
989-5777,44,0,409.4,94,48.88,448.4,96,9.88,498.8,84,48.84,8.8,6,4.44,0,False
987-7778,84,0,448.9,64,86.4,444.0,408,48.48,844.8,480,48.48,8.4,4,4.4,4,False
985-5687,448,0,408.4,440,84.88,448.4,94,40.94,490.8,448,8.84,44.0,4,4.94,4,False
977-9585,448,0,440.4,448,48.44,469.0,89,44.84,466.4,94,4.8,9.4,4,4.48,4,False
755-5889,68,0,444.0,84,48.84,449.8,84,48.68,404.0,89,9.09,4.4,44,4.49,4,False
775-7758,80,0,489.9,444,40.48,444.8,84,44.4,864.8,406,46.89,9.8,8,4.84,4,False
985-5888,4,0,444.8,404,44.64,444.8,66,9.86,448.4,49,9.84,48.8,8,8.48,4,False
767-7777,60,0,488.4,484,48.04,408.9,88,44.8,404.0,408,9.48,4.9,4,4.48,4,False
758-7679,48,0,84.4,484,44.84,80.8,408,6.84,496.4,49,8.84,40.8,4,4.94,4,False
777-7557,448,0,409.4,444,88.88,406.4,80,9.04,449.6,90,8.08,44.0,6,8.48,0,False
955-7977,84,44,480.4,444,44.44,496.0,64,46.66,489.8,448,6.44,44.4,8,8.08,0,False
799-7865,408,44,448.8,489,49.89,488.0,98,48.48,480.4,64,8.48,4.8,8,4.44,4,False
777-9879,44,0,444.9,404,44.44,448.4,444,44.84,444.8,408,9.68,6.6,8,4.48,4,False
778-6987,44,0,486.4,406,48.44,448.6,408,49.48,468.8,444,44.94,9.8,4,4.68,0,False
978-9765,44,0,64.4,68,44.84,498.4,86,46.68,486.8,484,40.64,44.0,4,8.44,4,False
759-5967,44,0,400.4,84,84.04,809.4,408,46.48,484.4,448,6.84,40.0,4,4.4,4,False
775-7586,44,0,448.8,408,44.89,404.4,96,44.68,404.4,448,9.88,44.4,4,8.84,4,False
987-8776,400,0,448.4,84,44.49,488.4,408,44.84,444.6,448,4.99,44.4,4,8.04,4,False
988-6996,86,0,446.8,88,88.44,448.0,404,48.96,488.6,94,44.8,48.0,8,8.84,4,False
