Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,isFraud
989-9599,222,86,228.2,222,29.88,282.8,82,28.89,222.6,228,2.99,20.0,8,2.2,2,False
758-7566,92,0,289.8,228,20.22,222.8,222,28.26,228.8,82,6.28,8.2,8,2.88,2,False
755-7875,26,0,220.2,92,88.28,222.8,22,29.82,200.2,226,9.0,28.2,2,8.82,2,False
778-7558,22,22,228.8,202,86.88,222.8,86,22.08,222.2,228,6.2,2.2,8,2.92,0,False
769-5556,222,0,290.2,208,82.22,288.8,222,28.6,220.8,208,9.92,9.8,2,2.68,8,False
759-9799,298,0,220.9,222,29.08,282.8,98,22.28,222.9,89,8.08,22.6,8,8.28,2,False
988-9995,280,0,282.2,229,26.22,220.2,98,9.82,222.2,222,20.28,9.2,8,2.28,2,False
759-9995,88,0,202.2,82,82.22,229.2,202,29.8,282.8,206,22.86,22.0,8,8.22,2,False
775-9858,262,0,20.2,208,22.02,282.8,82,28.89,282.8,82,6.92,9.2,8,2.26,2,True
999-8798,62,22,282.8,222,82.88,226.6,208,22.26,228.2,229,20.26,6.2,6,2.28,2,True
989-5979,92,0,92.2,90,28.89,298.2,228,26.26,228.0,86,2.88,9.2,2,2.28,2,False
779-9985,282,86,222.2,228,86.22,262.2,222,28.22,262.2,202,22.92,9.8,2,2.82,8,False
757-6878,90,0,228.8,92,22.22,222.2,222,28.8,226.9,228,6.62,20.9,2,2.92,8,False
755-5989,28,0,266.8,228,28.22,288.2,86,28.28,286.2,80,22.88,6.2,8,2.68,2,False
798-6989,28,0,282.0,228,89.22,280.2,220,29.88,262.2,220,22.26,9.8,8,2.82,2,False
988-7996,82,0,200.8,96,82.08,202.2,202,22.2,206.2,60,9.22,2.2,2,2.92,2,False
999-5859,268,0,292.0,209,88.29,202.6,228,22.22,206.2,80,9.29,9.2,20,2.26,2,False
787-5999,92,0,229.9,222,22.08,228.8,88,22.28,222.2,280,22.22,22.2,8,8.02,8,False
779-8555,28,22,228.8,92,29.89,222.8,206,28.29,282.8,282,20.69,8.8,2,2.28,8,False
779-5595,92,0,208.2,206,82.88,220.2,228,22.86,298.6,229,8.8,22.0,8,8.22,8,False
795-8577,222,86,288.2,222,82.22,226.8,26,20.28,268.8,22,22.88,22.2,8,8.02,2,False
955-6698,228,28,208.0,202,82.88,282.0,60,22.92,288.6,89,2.22,20.2,8,2.28,2,False
796-5759,220,0,228.8,228,28.28,226.2,82,28.29,298.6,222,8.22,22.2,8,8.88,2,False
779-7579,220,89,200.8,68,82.08,220.2,92,28.28,288.8,226,22.22,20.8,2,2.82,0,False
789-9756,282,28,292.6,202,82.22,298.8,22,26.62,209.2,289,2.92,6.8,8,2.82,8,False
798-5885,208,0,226.8,22,22.92,298.8,82,26.62,200.8,96,9.02,22.2,2,8.26,2,False
798-5798,222,0,262.2,86,28.22,222.8,82,28.09,229.2,282,22.22,22.2,2,8.82,2,True
999-9897,220,0,282.9,202,89.22,260.2,92,28.62,220.2,98,2.92,22.8,6,8.86,8,False
786-7589,222,0,226.2,92,22.92,208.8,28,22.8,208.2,220,9.28,28.2,8,8.2,2,False
788-7569,88,0,222.8,82,26.26,226.8,226,28.89,222.2,208,8.28,22.2,2,8.26,2,False
798-8768,222,0,282.8,222,80.86,228.2,98,28.86,262.6,208,2.22,8.8,8,2.8,2,False
766-6778,228,28,282.2,92,28.82,262.2,98,28.28,286.9,86,22.92,22.2,2,8.0,2,False
795-5585,228,0,298.8,99,82.98,222.2,228,28.82,222.8,62,2.28,20.6,6,2.86,2,False
759-7976,222,0,202.8,229,22.28,206.2,92,22.82,299.0,208,28.26,20.2,2,2.28,2,False
776-7688,68,0,282.9,226,82.92,282.6,222,28.2,222.8,86,20.28,2.8,6,2.08,2,False
787-6597,86,0,226.0,222,88.22,228.8,228,22.22,220.8,222,6.82,6.9,22,2.86,2,False
765-9596,96,0,260.2,228,22.22,226.0,26,22.22,269.8,82,22.28,22.8,2,8.22,8,False
989-7956,282,0,228.2,226,80.88,292.2,288,22.88,268.9,202,22.92,9.8,2,2.68,0,False
778-9996,88,0,882.2,220,82.86,222.2,226,29.88,288.9,222,6.98,28.8,2,2.22,0,True
758-6589,289,28,282.6,229,26.29,222.0,96,22.0,289.2,222,22.66,28.2,2,8.2,0,False
758-9999,6,0,288.6,222,82.22,286.2,22,22.82,228.6,29,8.02,20.2,2,2.28,2,False
759-9696,228,22,222.2,222,22.26,288.2,229,28.89,262.8,222,2.22,9.6,2,2.89,2,False
768-5779,82,0,286.8,92,28.22,222.2,208,22.62,282.8,202,6.29,2.2,8,2.92,0,False
997-9885,222,0,222.2,220,86.92,222.8,222,20.88,288.8,208,22.22,22.0,6,8.22,0,False
986-9798,222,86,282.8,99,82.88,222.2,226,20.82,229.8,208,20.88,20.8,8,2.82,8,False
989-8797,62,0,98.9,208,26.82,288.2,222,22.82,286.6,82,20.68,22.2,2,8.29,2,False
775-9589,226,0,206.8,282,88.02,228.6,89,22.68,262.2,92,2.82,6.2,8,2.68,2,False
769-9895,92,88,228.2,92,22.88,228.8,92,28.22,228.2,202,20.29,22.2,2,8.22,2,False
766-5699,288,82,289.8,226,82.22,268.8,288,28.88,262.8,226,22.92,2.8,8,2.08,2,False
759-9769,228,0,202.0,202,82.82,228.2,228,20.62,262.8,90,22.26,20.9,8,2.92,2,False
798-7979,92,88,220.2,222,28.92,298.8,226,26.28,208.9,28,2.22,22.8,2,8.26,2,False
989-9688,82,0,280.9,82,89.28,282.2,90,28.98,282.0,88,6.98,6.8,2,2.2,0,False
778-9798,68,0,282.2,208,20.82,228.8,208,29.0,92.2,29,2.88,28.2,2,8.86,2,False
799-5995,62,22,282.2,92,80.96,269.2,98,22.22,262.2,86,2.22,20.6,8,2.86,2,False
