Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,isFraud
779-9957,62,0,236.2,22,20.23,223.6,33,23.33,292.2,92,3.23,23.2,2,3.36,2,True
799-7788,32,0,266.2,203,23.22,29.3,93,6.22,223.2,93,9.62,22.2,2,3.23,2,False
775-8877,222,0,222.6,39,22.33,233.3,30,26.03,206.0,222,9.22,22.3,2,3.03,2,False
988-9795,222,23,232.2,33,22.32,222.3,232,29.32,222.2,96,3.32,3.3,2,2.3,2,False
786-7677,32,39,229.2,222,23.23,222.2,23,22.92,222.3,90,3.22,9.2,2,2.23,2,False
977-5589,90,29,230.2,209,23.32,262.2,203,22.3,223.2,92,3.03,3.3,2,2.32,2,False
796-7795,239,0,232.2,33,23.22,322.2,222,26.32,233.0,32,3.22,3.3,6,2.33,2,True
777-5689,223,0,222.2,33,22.23,229.2,32,23.22,233.0,99,22.39,22.3,6,3.03,0,False
985-7895,39,36,222.2,222,22.09,232.3,223,29.23,222.2,232,9.99,22.0,3,3.22,2,False
766-6795,22,0,230.0,32,39.2,203.2,233,3.22,309.6,236,23.93,22.3,3,3.03,2,False
777-9795,292,0,262.3,33,22.39,223.2,223,23.26,292.2,32,3.62,20.9,2,2.92,0,False
758-6778,232,0,330.3,23,39.62,226.3,92,23.2,233.9,200,22.23,20.2,9,2.23,2,True
788-7757,222,0,293.3,96,32.36,262.2,223,22.23,223.6,223,3.29,9.2,3,2.26,2,False
775-7976,23,0,23.2,222,23.29,233.2,203,22.32,233.0,200,22.23,23.0,3,2.36,2,False
756-7567,232,0,33.2,220,22.23,232.2,232,29.22,226.2,222,6.6,2.6,3,2.03,2,False
955-6685,223,0,293.6,99,33.23,262.3,220,22.26,262.9,26,2.22,26.0,2,2.32,0,False
776-7898,233,0,202.3,32,32.32,223.0,222,29.23,202.2,32,9.2,20.3,6,2.23,2,False
797-5895,36,0,292.0,220,33.29,222.3,202,23.92,223.3,92,20.22,20.6,6,2.36,2,False
795-7979,232,0,223.0,32,32.06,222.2,33,9.22,269.2,93,22.22,22.2,2,3.33,0,True
778-8858,32,0,262.3,93,23.02,229.9,96,29.32,262.3,203,2.33,22.3,2,2.0,2,False
788-9568,90,0,229.2,22,30.26,220.2,99,22.92,226.9,33,22.26,9.2,6,2.23,2,False
985-6597,32,22,222.0,223,36.33,230.0,222,23.3,232.3,32,6.03,20.6,3,2.36,0,False
987-6979,233,0,220.3,32,23.99,223.2,226,20.03,232.9,222,3.26,22.2,2,3.02,2,False
786-9798,29,0,203.2,223,32.92,222.3,203,23.23,226.2,206,20.22,6.2,23,2.32,2,False
778-5695,93,0,263.3,32,23.22,236.2,222,22.33,293.9,39,3.93,22.3,2,3.22,2,True
768-7759,222,0,222.0,200,32.32,260.2,223,23.66,233.2,96,20.29,6.3,2,2.32,2,False
978-7779,232,0,222.2,223,22.26,292.0,93,26.22,223.6,30,9.32,22.2,2,3.92,3,False
755-9557,92,0,232.6,202,23.22,233.2,96,23.22,220.0,222,20.3,22.2,2,3.92,2,False
757-6779,229,0,226.2,32,29.93,223.0,32,22.33,229.3,92,22.23,3.2,2,2.32,0,False
759-6796,222,22,296.0,32,33.32,322.2,32,22.23,223.6,220,20.23,3.2,3,2.0,2,False
779-9787,32,0,239.3,223,22.22,222.2,90,22.0,232.9,32,3.26,2.2,2,2.92,2,False
757-9878,232,0,230.2,223,39.23,220.2,29,23.23,202.2,222,9.22,20.2,2,2.39,2,False
766-5788,99,0,226.2,62,22.92,222.0,99,23.29,322.3,93,22.26,3.9,2,2.2,3,False
797-9679,32,0,220.3,202,33.29,202.3,33,22.33,222.3,33,3.23,3.3,3,2.3,2,False
755-9595,33,0,202.0,93,22.32,220.2,239,22.92,223.2,203,6.62,20.2,3,2.39,2,False
988-5757,230,0,226.0,99,22.22,233.3,23,20.22,233.2,200,22.33,20.2,6,2.23,3,False
778-7857,23,0,263.2,223,23.63,223.3,39,20.22,222.2,202,9.66,22.2,2,3.0,2,False
985-8867,33,0,203.6,229,22.93,233.2,229,22.93,223.2,22,9.39,3.2,3,2.33,0,False
776-5676,93,0,206.3,92,33.22,226.2,232,22.93,232.3,223,20.23,22.2,3,3.33,3,False
775-7697,222,0,222.2,26,36.92,203.2,200,22.22,233.2,92,3.36,9.2,3,2.32,2,False
