Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,isFraud
767-7869,88,84,94.4,444,46.4,484.4,98,48.44,400.4,409,9.04,40.6,6,4.86,4,False
797-9655,489,0,408.4,84,84.84,484.8,99,44.96,494.8,46,8.9,9.4,8,4.64,4,False
755-6877,69,0,498.8,40,88.4,446.4,408,48.44,489.9,449,44.4,44.8,4,8.88,8,False
989-7599,449,0,448.4,444,44.48,494.8,98,48.84,444.6,86,9.84,44.4,8,8.08,4,False
758-7566,406,0,444.4,404,49.48,48.8,404,6.66,484.4,48,40.44,0.0,0,0.0,4,False
755-7875,488,0,444.8,404,84.88,408.0,448,44.46,440.6,406,9.48,6.9,4,4.86,4,False
778-7558,468,44,448.9,40,49.9,444.4,408,44.99,444.8,84,4.88,4.8,8,4.94,4,False
769-5556,448,0,449.9,98,44.48,444.8,404,40.64,484.4,444,6.88,48.8,6,4.48,4,True
759-9797,84,80,484.8,480,89.84,498.4,446,46.89,468.8,94,44.4,44.4,4,8.08,4,False
988-9795,64,0,440.4,446,88.84,449.4,86,48.68,449.4,88,8.09,4.4,6,4.94,4,False
759-9995,444,0,484.8,444,80.99,469.9,440,44.44,484.0,446,8.48,9.8,8,4.84,4,False
775-9858,48,0,490.8,88,84.88,494.8,89,46.88,486.8,409,44.84,44.4,8,8.46,4,False
979-8778,400,88,444.4,88,80.44,468.4,408,48.94,444.4,44,40.94,4.4,4,4.0,0,False
989-5979,408,86,84.4,94,44.84,469.8,440,44.89,466.4,80,4.8,40.9,8,4.94,6,True
777-9985,448,0,448.6,96,86.68,498.4,444,46.44,408.4,448,4.44,48.8,8,8.68,4,False
757-6878,48,0,484.4,409,48.86,484.6,49,40.4,406.4,486,9.8,44.0,44,8.48,8,False
755-5989,449,86,494.8,408,84.48,444.0,88,48.08,446.8,448,9.44,46.4,8,4.48,4,False
798-6787,84,0,449.8,400,48.88,400.4,440,44.04,484.4,404,40.48,44.9,8,8.44,4,False
988-7996,84,0,448.4,446,44.48,440.4,99,44.84,484.4,98,44.98,4.8,8,4.44,4,False
977-5859,64,0,444.8,444,88.44,490.0,404,46.48,444.4,440,9.96,9.4,4,4.48,4,False
787-5979,86,89,464.4,444,44.4,444.4,404,48.44,484.9,404,6.94,44.4,8,8.48,4,False
779-8555,484,46,496.8,98,88.44,448.8,444,44.94,444.8,444,9.98,48.4,8,8.64,0,False
779-5595,94,0,444.4,408,46.4,404.6,408,44.44,444.6,84,9.94,44.8,8,8.44,8,True
795-8577,90,0,404.4,444,88.44,494.8,404,44.86,446.8,408,40.48,8.0,4,4.46,4,False
955-6698,48,0,800.4,94,84.04,488.4,408,44.84,494.4,94,8.88,4.4,8,4.94,4,False
796-5759,88,84,449.6,448,89.08,484.8,90,44.48,444.9,46,9.84,9.8,8,4.84,4,False
779-7579,98,40,484.8,440,84.88,469.8,94,44.48,448.8,444,4.89,44.4,4,8.44,4,False
787-9756,469,0,84.4,98,9.44,499.4,48,46.94,444.4,408,44.86,6.8,6,4.46,8,False
798-5885,68,0,464.4,86,44.86,488.0,86,48.48,489.4,84,8.84,44.0,9,4.94,8,True
798-5798,94,0,448.0,89,44.68,448.8,404,44.94,448.4,484,40.04,46.4,8,4.84,4,True
979-9897,68,0,489.8,448,44.44,440.8,98,40.44,440.8,46,9.46,44.4,8,8.08,4,False
786-7587,404,0,490.4,44,84.44,408.6,408,44.48,408.8,444,9.44,8.8,8,4.88,4,False
788-7567,64,40,480.6,40,89.4,489.4,88,46.04,464.4,448,4.8,9.4,4,4.84,4,False
