Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,isFraud
779-9787,220,20,202.6,203,32.22,223.3,223,20.2,232.9,93,20.32,9.0,9,2.23,2,False
757-9878,220,0,22.3,222,22.62,200.3,93,22.02,292.2,202,3.63,9.3,2,2.63,3,False
766-5788,223,0,33.6,223,22.22,220.9,92,20.23,226.6,220,20.2,20.2,9,2.39,0,False
797-9679,23,0,292.2,36,32.62,263.6,226,22.33,239.3,32,6.29,9.2,6,2.32,2,False
755-9595,233,0,220.2,39,32.23,33.3,223,2.32,293.3,29,3.29,22.9,3,3.23,0,False
988-5757,232,0,233.2,93,22.92,232.2,202,22.2,223.2,32,20.02,22.3,2,3.32,2,True
778-7857,36,0,233.2,22,23.03,232.2,232,23.3,223.3,203,22.22,3.2,2,2.22,2,False
985-8867,33,0,223.0,32,33.23,226.9,63,23.02,292.3,220,3.22,2.2,2,2.92,3,False
776-5676,203,0,293.3,99,33.23,262.3,60,22.26,332.9,23,23.92,9.2,3,2.32,0,True
775-7697,22,0,220.3,202,23.23,266.3,93,22.23,202.3,96,9.2,9.3,3,2.32,0,False
777-5778,202,32,60.0,202,20.2,202.2,30,3.69,262.3,206,22.23,22.2,3,3.0,0,False
785-8598,32,0,222.3,92,36.32,229.2,33,22.22,233.2,66,22.23,20.2,3,2.23,0,False
798-7759,92,0,232.3,33,30.92,202.2,93,22.2,223.9,92,22.02,9.2,2,2.23,2,False
759-7779,229,23,232.0,222,26.23,223.0,232,23.63,223.2,222,20.23,22.3,2,3.29,2,False
799-7687,33,29,232.2,99,26.26,222.9,30,20.02,229.2,29,22.36,23.9,22,3.23,2,True
788-5558,206,0,202.9,92,33.32,222.0,209,22.62,292.3,223,3.63,22.2,2,3.39,2,False
765-5757,32,0,202.0,90,33.29,232.9,33,29.3,222.2,203,2.26,9.2,3,2.26,3,False
795-6897,36,22,229.0,202,20.23,230.0,232,29.33,236.9,33,20.66,9.3,3,2.32,0,False
799-5888,92,0,223.2,222,22.23,223.0,32,23.22,223.3,32,3.02,20.9,3,2.92,0,False
977-7775,206,32,263.9,226,23.2,226.3,93,23.2,223.2,36,2.29,22.2,3,3.32,2,False
785-5988,203,0,233.6,222,23.36,222.3,222,22.63,232.6,92,20.22,9.3,3,2.63,2,False
777-7777,222,0,32.2,223,22.2,229.9,36,22.22,293.2,93,3.2,22.3,3,3.92,2,False
795-7899,92,0,62.6,222,20.62,230.6,226,23.33,222.2,30,9.93,20.2,2,2.32,2,True
786-9778,39,0,233.2,29,26.33,233.3,223,20.0,269.2,30,2.62,3.2,2,2.33,2,False
977-7569,22,23,262.9,220,23.03,209.3,203,22.29,232.2,33,20.2,6.2,9,2.32,2,False
796-9968,232,0,232.3,33,22.32,223.2,222,22.26,223.9,62,20.03,23.2,2,2.26,2,False
779-5778,222,0,223.3,203,22.36,222.3,203,22.96,233.2,96,3.33,22.3,3,3.22,2,False
798-7785,23,0,263.3,220,23.62,222.2,23,23.3,222.0,236,20.33,22.3,2,3.33,2,False
777-8688,233,0,262.2,33,22.62,292.6,223,26.32,226.3,33,6.39,3.3,6,2.22,2,False
977-7676,222,30,206.2,29,33.03,260.0,92,22.2,292.6,33,23.22,22.2,6,3.03,2,False
977-6779,222,23,223.3,92,33.39,293.0,222,26.22,232.2,200,20.26,3.2,9,2.22,2,False
977-9559,229,0,233.3,39,23.32,220.3,23,22.29,263.9,93,22.33,23.3,6,3.63,3,False
958-7795,62,23,92.2,202,26.03,236.2,202,22.33,222.2,39,6.63,2.3,2,2.22,0,False
