Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,isFraud
777-7698,290,26,226.2,22,29.82,228.9,88,22.2,228.2,208,2.88,9.9,8,2.62,2,False
757-7877,202,0,98.8,222,28.98,280.0,202,22.28,222.2,226,20.88,20.2,2,2.89,2,False
978-6975,288,80,282.2,222,26.2,228.2,206,20.09,288.2,208,22.68,22.9,8,8.28,2,False
757-5678,68,29,289.8,82,20.22,208.8,208,22.82,262.8,20,2.88,9.9,6,2.62,0,False
978-7789,222,28,226.0,220,86.22,222.2,69,29.08,262.9,222,22.06,22.8,2,8.29,0,False
976-8958,228,0,282.2,92,82.86,222.8,89,28.22,288.2,92,20.8,22.2,6,8.29,2,False
778-7759,222,0,262.2,229,28.26,288.2,228,29.82,209.6,228,2.98,20.8,8,2.28,0,False
787-7757,22,0,260.2,208,22.22,228.2,88,28.82,292.9,228,8.68,22.8,2,8.88,2,False
768-7596,28,0,228.2,92,22.82,209.2,222,22.22,228.0,96,2.29,22.9,9,8.22,2,False
795-5859,282,0,208.8,222,82.9,220.8,288,20.22,229.2,202,8.06,8.0,9,2.88,2,False
765-7987,262,28,229.2,88,82.28,282.8,99,22.88,80.2,60,2.28,22.8,6,8.86,2,False
797-9769,22,0,228.2,22,22.82,269.8,222,22.28,228.8,22,9.22,2.6,2,2.08,2,False
757-7785,222,0,282.8,206,89.88,228.2,92,22.89,222.2,22,9.88,22.8,2,8.88,2,False
985-7787,220,0,262.0,82,22.82,222.8,89,22.02,288.8,99,2.0,8.9,8,2.2,0,False
775-9897,88,22,28.9,229,2.2,206.8,96,22.88,228.2,62,20.26,6.8,2,2.26,2,False
775-9976,208,0,282.2,228,26.22,222.8,86,9.88,226.2,28,22.09,28.2,2,2.26,2,True
787-6859,80,0,822.8,228,82.29,222.0,98,28.82,262.8,228,2.88,6.2,8,2.82,0,True
757-7589,288,0,209.9,222,88.68,222.8,82,28.82,220.0,98,9.28,8.2,8,2.22,2,False
798-7579,222,0,292.8,88,82.86,228.2,28,22.89,220.8,228,9.92,0.0,0,0.0,0,False
755-7577,62,29,292.2,280,29.29,226.2,228,29.22,229.2,62,9.86,2.8,2,2.08,2,False
757-7867,88,0,228.6,228,86.68,226.2,88,28.88,222.8,68,2.22,22.8,2,8.29,8,False
767-5958,82,0,208.8,202,88.8,228.2,82,28.26,228.2,86,2.88,22.2,6,8.88,8,False
769-7995,222,0,288.9,92,28.8,202.2,229,22.88,222.8,82,2.22,22.8,8,8.82,8,False
798-7599,60,0,282.2,92,22.96,222.2,222,28.29,209.9,200,2.98,22.2,2,8.88,2,False
985-7796,228,0,282.2,22,22.26,222.8,202,22.02,226.2,228,22.08,6.9,6,2.86,8,False
977-9957,209,0,222.0,228,86.89,202.0,222,22.6,268.0,206,22.06,8.2,2,2.22,2,False
958-5695,208,22,202.9,29,22.82,228.2,92,28.96,222.6,22,20.82,22.9,2,8.28,0,False
799-9796,88,0,222.8,200,88.96,282.6,88,28.69,262.8,282,2.89,28.8,2,8.89,2,False
989-7577,282,0,288.2,86,26.08,298.8,82,26.82,262.2,88,2.2,20.2,8,2.82,0,False
757-7759,89,0,266.8,98,28.22,289.8,82,20.82,228.2,208,8.82,20.0,8,2.2,2,False
767-5997,228,0,288.2,82,82.28,220.2,96,22.28,268.2,202,2.28,9.8,28,2.82,2,False
798-5757,220,0,202.6,222,22.28,229.8,22,22.22,288.2,62,22.28,6.8,8,2.26,2,False
778-7579,228,0,228.2,208,22.68,289.0,209,28.82,229.9,22,20.88,2.2,8,2.92,0,False
987-9777,206,0,222.2,220,26.68,298.6,82,26.88,260.8,62,2.22,6.0,8,2.62,2,False
